match_id,match_number,date,team,opponent,is_home,goals_for,goals_against,result,points,xg,pass_completion_pct,completed_line_breaks,defensive_line_breaks,final_third_receptions,crosses,ball_progressions,forced_turnovers,second_balls,distance_km,zone4_sprint_km,attempts,attempts_on_target,total_passes,completed_passes,defensive_pressures,direct_pressures,possession_pct,possession_contest_pct,xg_against,attempts_against,attempts_on_target_against,source_url,pdf_file
2026_M035,35,2026-06-20 00:00:00,Sweden,Netherlands,False,1,5,L,0,1.3,86,100,12,118,23,20,37,53,110.1,5.7,16,8,438,377,228,38,43.3,8.5,2.25,10,7,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M35-NED-V-SWE.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M035_PMSR-M35-NED-V-SWE.pdf
2026_M036,36,2026-06-20 00:00:00,Japan,Tunisia,False,4,0,W,3,1.36,90,85,10,119,12,17,35,52,112.2,5.3,10,4,593,535,219,50,55.1,8.5,0.02,2,0,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M36-TUN-V-JPN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M036_PMSR-M36-TUN-V-JPN.pdf
2026_M036,36,2026-06-20 00:00:00,Tunisia,Japan,True,0,4,L,0,0.02,81,58,6,55,9,13,34,45,112.4,5.5,2,0,376,305,233,35,36.4,8.5,1.36,10,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M36-TUN-V-JPN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M036_PMSR-M36-TUN-V-JPN.pdf
2026_M037,37,2026-06-21 00:00:00,Cabo Verde,Uruguay,False,2,2,D,1,0.54,74,62,2,47,8,29,46,61,107.4,4.7,12,4,293,218,233,39,33.4,11.7,2.23,17,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M37-URU-V-CPV.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M037_PMSR-M37-URU-V-CPV.pdf
2026_M037,37,2026-06-21 00:00:00,Uruguay,Cabo Verde,True,2,2,D,1,2.23,86,92,16,183,27,31,41,78,112.8,6.7,17,2,517,444,198,43,54.9,11.7,0.54,12,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M37-URU-V-CPV.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M037_PMSR-M37-URU-V-CPV.pdf
2026_M038,38,2026-06-21 00:00:00,Saudi Arabia,Spain,False,0,4,L,0,0.11,79,77,7,63,4,19,42,54,115.0,6.7,3,2,389,309,413,34,30.0,6.9,3.2,22,8,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M38-ESP-V-KSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M038_PMSR-M38-ESP-V-KSA.pdf
2026_M038,38,2026-06-21 00:00:00,Spain,Saudi Arabia,True,4,0,W,3,3.2,93,159,18,259,28,25,44,87,115.5,5.9,22,8,743,688,214,30,63.2,6.9,0.11,3,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M38-ESP-V-KSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M038_PMSR-M38-ESP-V-KSA.pdf
2026_M039,39,2026-06-21 00:00:00,Belgium,IR Iran,True,0,0,D,1,1.48,88,120,11,267,35,33,45,90,111.7,5.2,23,7,637,562,121,13,59.2,10.6,0.48,7,3,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M39-BEL-V-IRN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M039_PMSR-M39-BEL-V-IRN.pdf
2026_M039,39,2026-06-21 00:00:00,IR Iran,Belgium,False,0,0,D,1,0.48,73,40,3,46,11,9,43,59,112.6,5.2,7,3,275,201,343,49,30.2,10.6,1.48,23,7,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M39-BEL-V-IRN.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M039_PMSR-M39-BEL-V-IRN.pdf
2026_M040,40,2026-06-21 00:00:00,Egypt,New Zealand,False,3,1,W,3,2.1,89,110,9,167,20,17,51,72,118.3,7.1,19,7,544,486,249,45,50.3,10.3,0.71,11,5,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M40-NZL-V-EGY.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M040_PMSR-M40-NZL-V-EGY.pdf
