team,rating,matches,recent_matches,recent_points_per_match,recent_goals_for,recent_goals_against,recent_result_weight,weighted_recent_points_per_match,weighted_recent_goals_for,weighted_recent_goals_against,weighted_recent_goal_diff,report_matches,xg_for_2026,xg_against_2026,attempts_for_2026,attempts_against_2026,on_target_for_2026,on_target_against_2026,possession_pct_2026,statsbomb_matches,statsbomb_xg_for,statsbomb_xg_against,statsbomb_shots_for,statsbomb_shots_against,statsbomb_on_target_for,xg_for_2026_shrunk,xg_against_2026_shrunk,statsbomb_xg_for_shrunk,statsbomb_xg_against_shrunk
Tuvalu,1297.9971411046624,39,12,0.5833333333333334,1.1666666666666667,5.333333333333333,0.7158426802709115,1.3985019440835527,1.8851869611038503,2.921773371040927,-1.0365864099370767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
South Sudan,1293.8964181847277,78,12,0.5,0.6666666666666666,2.0,8.056755967153983,0.56392775158624,0.5304669905114726,1.8665390453365698,-1.3360720548250973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Falkland Islands,1292.4106907293615,33,12,0.3333333333333333,0.75,3.0833333333333335,0.5089330033102968,0.2504933118882752,0.752068539210192,3.246893306316394,-2.494824767106202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Eritrea,1286.0703889062418,71,12,0.16666666666666666,0.5,2.0833333333333335,0.01942544813749495,0.009492939263331057,0.4906017163471099,2.0353768955400295,-1.5447751791929192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Chad,1279.1383871725993,138,12,0.3333333333333333,0.75,2.1666666666666665,8.739961434631292,0.44485362933803996,0.6787268271994765,1.8386162648009843,-1.159889437601508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Aruba,1275.89182185855,152,12,1.1666666666666667,1.5833333333333333,2.25,8.72972245258828,1.3228537160123248,1.6439514388002694,1.9242824782740218,-0.2803310394737526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Montserrat,1275.6176303365817,66,12,1.0,1.0,1.9166666666666667,4.692461451518669,0.9153618888900817,0.8330944076945114,1.9661043012857011,-1.1330098935911896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saint Lucia,1262.2910277723092,230,12,1.0833333333333333,1.0833333333333333,2.8333333333333335,7.12750483800152,1.0283766950210251,1.0938604710259332,2.6136450535147824,-1.5197845824888492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Frøya,1259.2671337829854,37,12,0.3333333333333333,1.1666666666666667,4.333333333333333,2.396930988625679,0.15754825319391547,0.528488945622949,4.999700733205575,-4.471211787582626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Mauritius,1256.4158491550459,325,12,0.5,0.6666666666666666,1.5833333333333333,7.046598845981857,0.649525335723901,0.6508473285407301,1.4640124296105441,-0.813165101069814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Cook Islands,1248.0648478415012,53,12,0.75,0.5,2.9166666666666665,1.659505426095978,0.6612282590898053,0.5682199256794065,3.1414622469249376,-2.5732423212455315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
São Tomé and Príncipe,1228.3418481995373,71,12,0.4166666666666667,0.5,2.25,5.15399960601642,0.46794393250701577,0.6005213398736168,2.6308030214505806,-2.0302816815769638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Dominica,1227.3984850476295,215,12,0.5833333333333334,0.8333333333333334,2.25,8.198984650290411,0.7866339209216017,0.9056830353523004,1.9321931988923626,-1.026510163540062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Afghanistan,1222.2427217002987,147,12,0.5,0.3333333333333333,1.3333333333333333,8.474138426869011,0.7834062603869179,0.48098940131805695,1.4629822078418089,-0.9819928065237518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Bonaire,1216.3554780460283,44,12,0.5833333333333334,0.8333333333333334,2.0833333333333335,7.349703195514402,0.7377743075155507,1.0267540976983216,2.1002386661098567,-1.073484568411535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
