source,match_id,date,competition,season,team,opponent,is_home,statsbomb_shots,statsbomb_xg,statsbomb_goals,statsbomb_on_target,statsbomb_xg_against,statsbomb_shots_against
StatsBomb Open Data,3938639,2024-06-18,UEFA Euro,2024,Georgia,Türkiye,False,14,1.57856751,1,4,2.4034188391999995,22
StatsBomb Open Data,3938638,2024-06-17,UEFA Euro,2024,Romania,Ukraine,True,10,1.1210513,3,5,0.543475964,13
StatsBomb Open Data,3938638,2024-06-17,UEFA Euro,2024,Ukraine,Romania,False,13,0.543475964,0,2,1.1210513,10
StatsBomb Open Data,3930165,2024-06-17,UEFA Euro,2024,Austria,France,True,5,0.748317325,0,3,1.904531775,14
StatsBomb Open Data,3930165,2024-06-17,UEFA Euro,2024,France,Austria,False,14,1.904531775,0,3,0.748317325,5
StatsBomb Open Data,3930164,2024-06-17,UEFA Euro,2024,Belgium,Slovakia,True,16,1.7502550390000002,0,5,0.7111064833999999,10
StatsBomb Open Data,3930164,2024-06-17,UEFA Euro,2024,Slovakia,Belgium,False,10,0.7111064833999999,1,4,1.7502550390000002,16
StatsBomb Open Data,3930163,2024-06-16,UEFA Euro,2024,Serbia,England,True,6,0.249405245,0,1,0.558814127,5
StatsBomb Open Data,3930163,2024-06-16,UEFA Euro,2024,England,Serbia,False,5,0.558814127,1,3,0.249405245,6
StatsBomb Open Data,3938637,2024-06-16,UEFA Euro,2024,Poland,Netherlands,True,12,0.9091575623,1,7,1.3127551150000003,21
StatsBomb Open Data,3938637,2024-06-16,UEFA Euro,2024,Netherlands,Poland,False,21,1.3127551150000003,2,4,0.9091575623,12
StatsBomb Open Data,3930162,2024-06-16,UEFA Euro,2024,Slovenia,Denmark,True,11,0.9663907513,1,2,1.5112394229999997,16
StatsBomb Open Data,3930162,2024-06-16,UEFA Euro,2024,Denmark,Slovenia,False,16,1.5112394229999997,1,4,0.9663907513,11
StatsBomb Open Data,3930159,2024-06-15,UEFA Euro,2024,Hungary,Switzerland,True,6,1.102845594,1,2,2.0957691709999997,15
StatsBomb Open Data,3930159,2024-06-15,UEFA Euro,2024,Switzerland,Hungary,False,15,2.0957691709999997,3,7,1.102845594,6
